,open,high,low,close,volume,dividend_amount,split_coefficient,rolling_3_mean,rolling_7_mean,ewma,unix_timestamp,weekday,month,close_shifted
76,129.14,129.909,126.7709,127.25,4565585,0.0,1.0,126.81666666666666,126.81666666666666,126.9429302596024,1.674575872,1,9,130.66
77,130.33,130.99,129.89,130.66,3741168,0.0,1.0,126.81,126.81,127.0964651298012,-0.763297792,0,9,129.19
78,128.9,129.49,128.06,129.19,3293365,0.0,1.0,128.53333333333333,128.53333333333333,128.8782325649006,0.513015808,4,9,128.47
79,127.2,128.54,126.59,128.47,2964613,0.0,1.0,129.03333333333333,129.03333333333333,129.0341162824503,-1.924857856,3,9,127.71
80,126.69,127.8667,126.28,127.71,2401513,0.0,1.0,129.44,129.44,128.75205814122515,-0.067764224,2,9,126.72
81,127.8,128.06,126.3,126.72,3345343,0.0,1.0,128.45666666666665,128.45666666666665,128.23102907061258,1.789329408,1,9,127.79
82,130.3,130.56,127.24,127.79,3040813,0.0,1.0,127.63333333333333,127.63333333333333,127.47551453530629,0.627769344,4,9,129.66
83,128.4,129.8173,127.74,129.66,3396219,0.0,1.0,127.40666666666668,127.40666666666668,127.63275726765315,-1.81010432,3,9,128.45
84,129.92,130.0,128.4,128.45,3490380,0.0,1.0,128.05666666666667,128.05666666666667,128.64637863382657,0.046989312,2,8,129.58
85,130.56,130.77,129.29,129.58,2407888,0.0,1.0,128.63333333333333,128.63333333333333,128.5481893169133,1.904082944,1,8,130.31
86,129.99,131.42,129.57,130.31,2751308,0.0,1.0,129.23000000000002,129.23000000000002,129.06409465845667,-0.53379072,0,8,130.38
87,134.1,134.18,130.34,130.38,4185254,0.0,1.0,129.4466666666667,129.4466666666667,129.68704732922834,0.74252288,4,8,133.98
88,133.65,134.425,133.07,133.98,2706005,0.0,1.0,130.09,130.09,130.03352366461417,-1.695350784,3,8,133.23
89,134.89,135.11,133.11,133.23,2855421,0.0,1.0,131.55666666666664,131.55666666666664,132.00676183230706,0.161742848,2,8,134.74
